time,t2m,d2m,strd,tp,sp,ssrd,Ws
01-Jan-2019 00:00:00,263.64003668501,252.465620509755,14499887.8821472,5.77653922184673e-06,63630.8661867518,15805488.6123327,1.12100233630282
01-Jan-2019 01:00:00,264.204700210999,252.673764494368,597314.799330108,0,63655.944311573,172972.376421038,1.12409983655732
01-Jan-2019 02:00:00,266.569979608426,253.542278962538,1204573.05398807,0,63705.1717417775,1031774.71667709,1.03730469548813
01-Jan-2019 03:00:00,268.513263126058,255.45450823125,1817032.66414631,0,63733.0363249122,2605052.12769139,0.856081790358784
01-Jan-2019 04:00:00,269.621565472281,258.534739715777,2432743.12149223,0,63692.168269648,4731951.31674118,0.329694660488546
01-Jan-2019 05:00:00,270.747888994866,257.965712995252,3054955.27321349,0,63616.9338951845,7181658.82611814,0.223609738369132
01-Jan-2019 06:00:00,271.223948403745,258.840217218374,3684969.45818519,0,63567.7064649799,9689758.28422321,0.155493064002297
01-Jan-2019 07:00:00,271.683488400959,261.565555721942,4310432.45709414,0,63510.119659835,12039207.9193689,0.234203096516758
01-Jan-2019 08:00:00,271.425184873113,261.367893808496,4949549.01419132,0,63520.3366736511,13926479.771657,0.211450307620127
01-Jan-2019 09:00:00,270.66679370124,259.596423781177,5588665.57128851,0,63547.2724373479,15157668.5019151,0.208112471649469
01-Jan-2019 10:00:00,269.498420767146,259.42571576502,6242085.85601147,0,63598.3575064281,15627007.5615034,0.090762918138052
01-Jan-2019 11:00:00,268.286496656845,259.186125566904,6874050.54929578,0,63634.5814645031,15648491.3916958,0.550664863214489
01-Jan-2019 12:00:00,267.517593132094,258.548216664421,7493662.0232669,0,63669.8766031403,15648491.3916958,0.718437376140885
01-Jan-2019 13:00:00,266.925897841563,257.687189389942,8114573.8361131,0,63671.7342420159,15648491.3916958,0.836512941265582
01-Jan-2019 14:00:00,266.539944314491,256.679413119117,8738736.49614698,0,63680.0936169563,15648491.3916958,0.929976757562437
01-Jan-2019 15:00:00,266.278637257251,255.752498540156,9358347.97011811,0,63700.5276445884,15648491.3916958,1.03469803036732
01-Jan-2019 16:00:00,266.053372552734,254.891471265678,9972107.91915142,5.77653922184673e-06,63695.8835473993,15648491.3916958,1.07563870887179
